Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
palapi_train (407).jpg,palapi,1522.4418198529413,1693.0440907343332,414.17711397058827,1797.268712033833,0.49845017620513715,0.2861377786574116,0.5185504914460843,0.2855502373841768,20.01148897058824,24.289980776624372,9.852634803921571,25.108342945021143,6.863334267090823,7.555361664202625,6.54148702245723,7.573961640087097,0.003971606778530194,0.001413099536879983,0.004169753506201042,0.001404013864480892,0.06302068532260019,0.03759121621974983,0.06457362856616501,0.037470172997744376,0.7949769380746882,0.7716284318359464,0.9442239046653086,0.7575697665373082
palapi_train (408).jpg,palapi,412.86222426470584,1703.3670742022296,1537.5095894607844,1812.00030757401,0.5193794682086049,0.2868846345309385,0.49877116651958775,0.28599261686992783,9.86516544117647,24.312556708958088,20.05101102941176,25.1522645136486,6.54110120987663,7.553977638093732,6.863247762495987,7.5740668820199835,0.0041878442936610916,0.0014149443896788873,0.0039863344138972995,0.0014021400398894282,0.06471355571795674,0.037615746565486205,0.06313742482788873,0.03744516043348497,0.9440977927011569,0.7689764947413344,0.7918187357851154,0.7542428353080703
palapi_train (409).jpg,palapi,1536.160049019608,1700.9509880815074,412.3638786764706,1810.8486582083813,0.49833961525501935,0.2869211577417581,0.5196585588510396,0.2862662680635648,20.063939950980398,24.303114186851214,9.850337009803921,25.157554786620533,6.864503446363123,7.553301209540732,6.541348577926051,7.573911709601639,0.003979099600739501,0.0014175600104121078,0.0041918998111078075,0.0014055844903942988,0.06308010463481732,0.03765049814294769,0.06474488250902775,0.03749112548849792,0.7919161878064694,0.7692102290096149,0.9441423776509009,0.7542990068176308
palapi_train (41).jpg,palapi,447.6023590686275,1626.6692502883507,1409.8947303921568,1684.8453364090738,0.51574924195154,0.2840120226801748,0.4975953406048624,0.28581727392288825,10.110784313725489,24.10097654748174,19.326807598039213,24.467327950788164,6.730638911848048,7.762104266070018,7.058369671993895,7.766549570769822,0.0037391129332017743,0.0012281546106316726,0.003570747302156923,0.0012398638266623565,0.06114828642898977,0.035045036890145695,0.059755730287202775,0.03521170013876576,0.9299932001307744,0.7448529132700332,0.7794868230082177,0.735727850576174
palapi_train (410).jpg,palapi,1353.7499080882353,1776.3208304498273,714.4992340686274,1790.3590311418689,0.536596296454955,0.30835602913865867,0.51704015860489,0.3079087533133886,17.89779411764706,24.59318723567859,12.588786764705883,24.743806228373707,6.902014195739137,7.721393874680918,6.834595540103928,7.7260521430762035,0.004055608377599661,0.0014098167371523777,0.0037233897513125965,0.0014054379759004948,0.06368365863861514,0.037547526378609516,0.0610195849814844,0.03748917144857292,0.8214034851426015,0.7652807625117101,0.905738074432711,0.7634257846801945
palapi_train (411).jpg,palapi,720.7125000000002,1804.483198769704,1378.4049938725493,1819.6757247212608,0.5172290003032259,0.3088091306066413,0.5376191032054447,0.308631294039422,12.60716911764706,24.6717416378316,17.950674019607842,24.852718185313336,6.8391017601521575,7.722794902777523,6.899749719273764,7.728284930817564,0.003697019560160156,0.0014068214085582972,0.004049679097282298,0.0014068950796879498,0.06080312130277652,0.03750761800699022,0.06363708900698002,0.037508600076355154,0.9054078848089218,0.7627903173593332,0.8190870229663707,0.7607931725469371
palapi_train (412).jpg,palapi,1377.9283088235297,1805.3323183391008,721.1302083333333,1818.5397616301427,0.5374278915784663,0.30825873056791825,0.5159669687253534,0.3073511334849199,17.952787990196082,24.683183391003464,12.610998774509806,24.847212610534413,6.895760893190464,7.7181487644681,6.834908451695932,7.724992084298315,0.004093518577965807,0.0014237541796614768,0.0037361663032247226,0.001413518740980498,0.06398061095336467,0.03773266727467695,0.06112418754654104,0.03759679163147433,0.8195502215545637,0.7632021156395316,0.9055627310283186,0.7614697505800024
palapi_train (413).jpg,palapi,1239.1940257352942,1429.0005382545176,419.3277879901961,1519.851964628989,0.5103476010448493,0.2972282447413318,0.5239771217507353,0.2986357184445631,17.724264705882355,22.34143790849673,9.882322303921569,22.92979623221838,6.985056022119491,7.696471128281829,6.709666844222021,7.70323181940346,0.0037082526336400063,0.0013293354624644561,0.0038276719882001514,0.0013444007945957557,0.06089542374957257,0.03646005296848122,0.061868182357332525,0.036666071436625924,0.8203240460700142,0.7922531595348631,0.9391999002966597,0.7790452591346982
palapi_train (414).jpg,palapi,1660.9595281862748,2074.5148173779316,736.4950367647061,2034.5965090349869,0.5196042726982021,0.29202743592721525,0.5074835788961023,0.2960279126738225,20.52775735294118,27.339546328335253,13.351225490196082,26.919492502883507,7.457941980790612,8.37651316349368,7.390329188972457,8.355818709253782,0.0036811517101670637,0.0012757319701218043,0.0034226340323583494,0.001300445027427862,0.060672495499749006,0.03571739030390944,0.05850328223577161,0.0360616836466056,0.6949787587650925,0.6187923031874076,0.8647488837234776,0.6261275925073955
palapi_train (415).jpg,palapi,739.5056066176472,2068.7443906189924,1654.136029411765,2031.4253594771237,0.508208409590826,0.29294693862877674,0.5198286724817842,0.2968639434835585,13.376439950980394,27.291380238369847,20.45107230392157,26.867604767397147,7.3904770525948065,8.374975216409196,7.459040385847918,8.35780902337375,0.0033771995652964013,0.0012658447842126192,0.003647788992665082,0.001283191083310015,0.058113677953614336,0.035578712514825764,0.06039692866913914,0.0358216566243106,0.8643388394035826,0.6202480765510592,0.6965513019424968,0.6270985960843763
palapi_train (416).jpg,palapi,1656.8168811274509,2070.551633986928,738.3114583333335,2033.4261591695501,0.5194046606632733,0.2924432252614445,0.5080732496732927,0.2962750843454557,20.47797181372549,27.30691272587466,13.364307598039217,26.88898116109189,7.457432208170579,8.37642121203846,7.389749989619409,8.356806993861081,0.003647175355857722,0.0012580886214615056,0.003375989539217188,0.0012763368301991324,0.0603918484222641,0.03546954498526173,0.05810326616651759,0.035725856605533374,0.6966860376589272,0.6206973871173596,0.8648371003339187,0.6274983716335606
